income_class_index,income_class_label,lower_bound_yen_exclusive,upper_bound_yen_inclusive,is_topcoded,primary_income_type,primary_income_type_ja,positive_self_assessed_balance_persons_estimated,calculated_income_tax_million_yen,tax_credits_million_yen,post_credit_income_tax_million_yen,tax_credit_persons_estimated,tax_credit_exposure_share_within_positive_balance,dividend_credit_million_yen,housing_credit_million_yen,other_credit_million_yen,special_2024_tax_reduction_million_yen,source_withholding_persons_estimated,source_withholding_exposure_share_within_positive_balance,source_withholding_tax_million_yen,salary_withholding_persons_estimated,salary_withholding_tax_million_yen,non_salary_withholding_persons_estimated,non_salary_withholding_tax_million_yen,pension_withholding_persons_estimated,pension_withholding_tax_million_yen,self_assessed_balance_million_yen,implied_reconstruction_special_income_tax_million_yen,implied_reconstruction_special_income_tax_rate_on_post_credit,self_assessed_balance_share_of_pre_withholding_tax,table1_source_cells,table4_source_cells,table5_source_cells,source_ids,source_sha256_table1,source_sha256_table4,source_sha256_table5,cell_nature,evidence_status,target_population,identification_warning
1,70万円以下,,700000,False,business,事業所得者,5797,50,3,47,492,0.084871485251,0,1,0,1,809,0.139554942211,11,374,3,653,9,87,4,37,1,0.0212765957447,0.770833333333,D36;H36;I36;J36;K36;L36,E36;G36;I36;L36;M36;N36,D37;E37;F37;G37;H37;I37;J37;K37,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
1,70万円以下,,700000,False,real_estate,不動産所得者,3787,39,3,36,358,0.0945339318722,0,0,0,3,869,0.229469236863,15,327,3,709,12,312,6,22,1,0.0277777777778,0.594594594595,D70;H70;I70;J70;K70;L70,E70;G70;I70;L70;M70;N70,D72;E72;F72;G72;H72;I72;J72;K72,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
1,70万円以下,,700000,False,salary,給与所得者,2218,27,3,24,318,0.143372407574,0,0,0,3,1554,0.700631199279,15,1554,13,696,2,148,1,9,0,0,0.375,D98;H98;I98;J98;K98;L98,E98;G98;I98;L98;M98;N98,D100;E100;F100;G100;H100;I100;J100;K100,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
1,70万円以下,,700000,False,miscellaneous,雑所得者,3422,32,2,30,233,0.0680888369375,0,0,0,1,1272,0.37171244886,9,496,3,776,6,484,4,22,1,0.0333333333333,0.709677419355,D132;H132;I132;J132;K132;L132,E132;G132;I132;L132;M132;N132,D135;E135;F135;G135;H135;I135;J135;K135,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
1,70万円以下,,700000,False,other,他の区分に該当しない所得者,947,27,6,21,302,0.318901795143,0,0,0,6,222,0.234424498416,2,64,1,158,2,16,0,20,1,0.047619047619,0.909090909091,D160;H160;I160;J160;K160;L160,E160;G160;I160;L160;M160;N160,D163;E163;F163;G163;H163;I163;J163;K163,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
2,100万円,700000,1000000,False,business,事業所得者,3468,36,3,33,155,0.0446943483276,0,1,1,1,167,0.04815455594,3,90,1,97,3,0,0,31,1,0.030303030303,0.911764705882,D37;H37;I37;J37;K37;L37,E37;G37;I37;L37;M37;N37,D38;E38;F38;G38;H38;I38;J38;K38,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
2,100万円,700000,1000000,False,real_estate,不動産所得者,2477,35,3,32,128,0.051675413807,0,0,0,2,110,0.0444085587404,3,44,0,66,3,18,0,29,0,0,0.90625,D71;H71;I71;J71;K71;L71,E71;G71;I71;L71;M71;N71,D73;E73;F73;G73;H73;I73;J73;K73,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
2,100万円,700000,1000000,False,salary,給与所得者,1169,17,8,9,266,0.22754491018,0,0,0,8,362,0.309666381523,4,299,2,179,1,8,0,5,0,0,0.555555555556,D99;H99;I99;J99;K99;L99,E99;G99;I99;L99;M99;N99,D101;E101;F101;G101;H101;I101;J101;K101,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
2,100万円,700000,1000000,False,miscellaneous,雑所得者,2633,31,7,24,265,0.100645651348,0,0,1,6,714,0.271173566274,3,408,3,306,1,203,0,21,0,0,0.875,D133;H133;I133;J133;K133;L133,E133;G133;I133;L133;M133;N133,D136;E136;F136;G136;H136;I136;J136;K136,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
2,100万円,700000,1000000,False,other,他の区分に該当しない所得者,3802,171,105,66,3471,0.912940557601,1,0,0,104,236,0.0620725933719,3,114,1,122,2,12,0,64,1,0.0151515151515,0.955223880597,D161;H161;I161;J161;K161;L161,E161;G161;I161;L161;M161;N161,D164;E164;F164;G164;H164;I164;J164;K164,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
3,150万円,1000000,1500000,False,business,事業所得者,46153,1712,1250,462,41278,0.894373063506,1,4,3,1242,1659,0.0359456590037,25,1052,5,607,20,37,0,447,10,0.021645021645,0.947033898305,D38;H38;I38;J38;K38;L38,E38;G38;I38;L38;M38;N38,D39;E39;F39;G39;H39;I39;J39;K39,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
3,150万円,1000000,1500000,False,real_estate,不動産所得者,19355,779,472,307,15603,0.806148282098,1,2,3,466,811,0.041901317489,12,493,5,318,7,106,0,301,6,0.0195439739414,0.961661341853,D72;H72;I72;J72;K72;L72,E72;G72;I72;L72;M72;N72,D74;E74;F74;G74;H74;I74;J74;K74,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
3,150万円,1000000,1500000,False,salary,給与所得者,30051,1153,854,299,28306,0.94193204885,1,1,1,851,8140,0.270872849489,83,7772,71,462,12,149,0,223,7,0.0234113712375,0.728758169935,D100;H100;I100;J100;K100;L100,E100;G100;I100;L100;M100;N100,D102;E102;F102;G102;H102;I102;J102;K102,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
3,150万円,1000000,1500000,False,miscellaneous,雑所得者,22297,905,536,369,17419,0.781226173925,2,1,3,529,9295,0.416872224963,86,2541,19,6754,67,6162,29,291,8,0.0216802168022,0.771883289125,D134;H134;I134;J134;K134;L134,E134;G134;I134;L134;M134;N134,D137;E137;F137;G137;H137;I137;J137;K137,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
3,150万円,1000000,1500000,False,other,他の区分に該当しない所得者,10777,970,321,649,10234,0.949614920664,4,1,3,313,1251,0.116080541895,25,580,4,671,21,95,1,639,15,0.0231124807396,0.96234939759,D162;H162;I162;J162;K162;L162,E162;G162;I162;L162;M162;N162,D165;E165;F165;G165;H165;I165;J165;K165,NTA-2024-SHINKOKU-T1-XLSX;NTA-2024-SHINKOKU-T4-XLSX;NTA-2024-SHINKOKU-T5-XLSX,df23218947cf02235dbb526ab7a9315fd0475ed37e4aa064be7d06dbe23e99f8,172c4c315fb146cac0b3f7beaef65bedbac07634b0f79cae0ee12635980b6da2,4f74c500b213630eceeb0099939529b9a370378e8cfddbe6e5173dd128774088,SURVEY_ESTIMATED_POSITIVE_SELF_ASSESSED_BALANCE_TAX_FLOW_CELL,REPRODUCED_OFFICIAL_SURVEY_TAX_FLOW_DIAGNOSTIC,2024 NTA Sample Survey for Self-Assessment Income Tax: persons with positive self-assessed income tax,"The sample is already conditioned on positive self-assessed balance; it does not identify calculated-tax-positive persons outside that target, does not identify F71561 household-to-filer linkage, and amount-flow identities are not person-level transition observations."
